"","file_handles","avg_received_size","min_request_size","max_request_size","avg_distance","pattern_description"
"946",256,0,0,256,0,"FP"
"1301",1,32,32,32,1486584.25,"SC"
"1302",1,32,32,32,1484268.125,"SC"
"1303",1,32,32,32,1321458,"SC"
"1304",1,32,32,32,1333111.25,"SC"
"1305",1,32,32,32,1220113.125,"SC"
"1306",1,32,32,32,1403555.5,"SC"
"1307",1,32,32,32,1398203.875,"SC"
"1308",1,32,32,32,1336398.75,"SC"
"1309",1,32,32,32,1372488.875,"SC"
"1310",1,32,32,32,1426850.625,"SC"
"1311",1,32,32,32,1407945.625,"SC"
"1312",1,32,32,32,1424511.375,"SC"
"1313",1,32,32,32,1411328.625,"SC"
"1314",1,32,32,32,1447140,"SC"
"1315",1,32,32,32,1460536.25,"SC"
"1316",1,32,32,32,1367044.875,"SC"
"1317",1,32,32,32,1223361,"SC"
"1318",1,32,32,32,1210227.375,"SC"
"1319",1,32,32,32,484805.78125,"SC"
"1320",1,32,32,32,1451033.875,"SC"
"1321",1,32,32,32,1373501.625,"SC"
"1322",1,32,32,32,1335713.875,"SC"
"1323",1,32,32,32,1321014.375,"SC"
"1324",1,32,32,32,1380975.375,"SC"
"1325",1,32,32,32,1520879.25,"SC"
"1326",1,32,32,32,1431948.25,"SC"
"1327",1,32,32,32,1482087.5,"SC"
"1328",1,32,32,32,1493152.75,"SC"
"1329",1,32,32,32,1466762.875,"SC"
"1330",1,32,32,32,1413133.375,"SC"
"1331",1,32,32,32,1382968.5,"SC"
"1332",1,32,32,32,1453880.5,"SC"
"1333",1,32,32,32,1372896.375,"SC"
"1334",1,32,32,32,1339709,"SC"
"1335",1,32,32,32,1460399.375,"SC"
"1336",1,32,32,32,1416822.375,"SC"
"1337",1,32,32,32,1469432.875,"SC"
"1338",1,32,32,32,1444378,"SC"
"1339",1,32,32,32,1499949.25,"SC"
"1340",1,32,32,32,1457075.875,"SC"
"2114",1,32,32,32,1335816.875,"SC"
"2115",1,32,32,32,1305008.5,"SC"
